t,c1,c2,c3,psi,z
0,0,0,0,-1,0
0,0,0,0,-1,-0.01
0,0,0,0,-1,-0.02
0,0,0,0,-1,-0.03
0,0,0,0,-1,-0.04
0,0,0,0,-1,-0.05
0,0,0,0,-1,-0.06
0,0,0,0,-1,-0.07
0,0,0,0,-1,-0.08
0,0,0,0,-1,-0.09
0,0,0,0,-1,-0.1
0,0,0,0,-1,-0.11
0,0,0,0,-1,-0.12
0,0,0,0,-1,-0.13
0,0,0,0,-1,-0.14
0,0,0,0,-1,-0.15
0,0,0,0,-1,-0.16
0,0,0,0,-1,-0.17
0,0,0,0,-1,-0.18
0,0,0,0,-1,-0.19
0,0,0,0,-1,-0.2
0,0,0,0,-1,-0.21
0,0,0,0,-1,-0.22
0,0,0,0,-1,-0.23
0,0,0,0,-1,-0.24
0,0,0,0,-1,-0.25
0,0,0,0,-1,-0.26
0,0,0,0,-1,-0.27
0,0,0,0,-1,-0.28
0,0,0,0,-1,-0.29
0,0,0,0,-1,-0.3
0,0,0,0,-1,-0.31
0,0,0,0,-1,-0.32
0,0,0,0,-1,-0.33
0,0,0,0,-1,-0.34
0,0,0,0,-1,-0.35
0,0,0,0,-1,-0.36
0,0,0,0,-1,-0.37
0,0,0,0,-1,-0.38
0,0,0,0,-1,-0.39
0,0,0,0,-1,-0.4
0,0,0,0,-1,-0.41
0,0,0,0,-1,-0.42
0,0,0,0,-1,-0.43
0,0,0,0,-1,-0.44
0,0,0,0,-1,-0.45
0,0,0,0,-1,-0.46
0,0,0,0,-1,-0.47
0,0,0,0,-1,-0.48
0,0,0,0,-1,-0.49
0,0,0,0,-1,-0.5
0,0,0,0,-1,-0.51
0,0,0,0,-1,-0.52
0,0,0,0,-1,-0.53
0,0,0,0,-1,-0.54
0,0,0,0,-1,-0.55
0,0,0,0,-1,-0.56
0,0,0,0,-1,-0.57
0,0,0,0,-1,-0.58
0,0,0,0,-1,-0.59
0,0,0,0,-1,-0.6
0,0,0,0,-1,-0.61
0,0,0,0,-1,-0.62
0,0,0,0,-1,-0.63
0,0,0,0,-1,-0.64
0,0,0,0,-1,-0.65
0,0,0,0,-1,-0.66
0,0,0,0,-1,-0.67
0,0,0,0,-1,-0.68
0,0,0,0,-1,-0.69
0,0,0,0,-1,-0.7
0,0,0,0,-1,-0.71
0,0,0,0,-1,-0.72
0,0,0,0,-1,-0.73
0,0,0,0,-1,-0.74
0,0,0,0,-1,-0.75
0,0,0,0,-1,-0.76
0,0,0,0,-1,-0.77
0,0,0,0,-1,-0.78
0,0,0,0,-1,-0.79
0,0,0,0,-1,-0.8
0,0,0,0,-1,-0.81
0,0,0,0,-1,-0.82
0,0,0,0,-1,-0.83
0,0,0,0,-1,-0.84
0,0,0,0,-1,-0.85
0,0,0,0,-1,-0.86
0,0,0,0,-1,-0.87
0,0,0,0,-1,-0.88
0,0,0,0,-1,-0.89
0,0,0,0,-1,-0.9
0,0,0,0,-1,-0.91
0,0,0,0,-1,-0.92
0,0,0,0,-1,-0.93
0,0,0,0,-1,-0.94
0,0,0,0,-1,-0.95
0,0,0,0,-1,-0.96
0,0,0,0,-1,-0.97
0,0,0,0,-1,-0.98
0,0,0,0,-1,-0.99
0,0,0,0,-1,-1
0.1,27.51,0.1063,11.04,-0.265,0
0.1,21.76,0.1187,8.745,-0.301,-0.01
0.1,16.16,0.1105,6.504,-0.348,-0.02
0.1,11.04,0.08956,4.447,-0.409,-0.03
0.1,6.688,0.06276,2.698,-0.488,-0.04
0.1,3.386,0.03649,1.368,-0.59,-0.05
0.1,1.299,0.0162,0.5255,-0.711,-0.06
0.1,0.3282,0.00483,0.133,-0.825,-0.07
0.1,0.04635,0.0008345,0.01884,-0.911,-0.08
0.1,0.003233,7.55E-05,0.001321,-0.958,-0.09
0.1,0.0001116,3.63E-06,4.60E-05,-0.982,-0.1
0.1,2.19E-06,1.03E-07,9.12E-07,-0.993,-0.11
0.1,2.85E-08,1.96E-09,1.21E-08,-0.997,-0.12
0.1,2.94E-10,0,1.28E-10,-0.999,-0.13
0.1,0,0,0,-1,-0.14
0.1,0,0,0,-1,-0.15
0.1,0,0,0,-1,-0.16
0.1,0,0,0,-1,-0.17
0.1,0,0,0,-1,-0.18
0.1,0,0,0,-1,-0.19
0.1,0,0,0,-1,-0.2
0.1,0,0,0,-1,-0.21
0.1,0,0,0,-1,-0.22
0.1,0,0,0,-1,-0.23
0.1,0,0,0,-1,-0.24
0.1,0,0,0,-1,-0.25
0.1,0,0,0,-1,-0.26
0.1,0,0,0,-1,-0.27
0.1,0,0,0,-1,-0.28
0.1,0,0,0,-1,-0.29
0.1,0,0,0,-1,-0.3
0.1,0,0,0,-1,-0.31
